2013-05-20;30.16;30.39;30.02;30.17;1478200
2013-05-17;29.77;30.26;29.77;30.26;2481400
2013-05-16;29.78;29.94;29.55;29.67;1077000
2013-05-15;29.63;29.99;29.63;29.98;928700
2013-05-14;29.53;29.77;29.48;29.6;1065900
2013-05-13;29.33;29.59;29.09;29.51;1005800
2013-05-10;29.89;29.91;29.52;29.83;1831000
2013-05-09;29.65;29.68;29.2;29.3;1693600
2013-05-08;29.65;29.99;29.54;29.72;1009800
2013-05-07;29.46;29.62;29.18;29.49;1390200
2013-05-06;28.8;28.9;28.64;28.78;744800
2013-05-03;28.85;29.02;28.45;28.56;1087800
2013-05-02;28.1;28.33;28;28.24;1472500
2013-05-01;27.94;28.19;27.61;27.7;1006900
2013-05-01;27.94;28.19;27.61;27.7;1006900
